imp,feature
-5.284173310765668e-07,225802_0
7.250015311929083e-08,227719_0
2.615533456889625e-07,225430_0
4.409259672316752e-07,229531_0
-2.9750993087459e-08,225448_0
6.69378933427778e-07,226124_0
-1.300168650660285e-07,224273_0
2.1789526225762478e-07,225445_0
1.8549520862401528e-07,227550_0
-5.930174424550356e-08,225427_0
-6.381687612409469e-08,225399_0
-1.2260204230343936e-07,225434_0
3.9537467817946205e-08,229577_0
-3.679918268680945e-09,228127_0
-2.6409516548801467e-07,225805_0
-1.5903677867568312e-07,225205_0
-2.2160488973016667e-07,225444_0
-6.641865299333932e-08,225475_0
-3.989621907236362e-08,226476_0
-2.9548872147249575e-08,229523_0
3.0338332187043677e-07,228125_0
-2.311095804440215e-08,228169_0
2.32426995971992e-07,229582_0
1.211273069498295e-07,225440_0
4.487701725048859e-08,229529_0
4.487701725048859e-08,229530_0
-7.482084297662763e-08,229578_0
-5.045110879377104e-08,225429_0
1.3872394447918094e-07,228136_0
-1.0097114481886649e-07,225443_0
-3.113688774785176e-08,225468_0
0.0,225467_0
-8.877832589607658e-08,225447_0
-5.3567960072246286e-08,221219_0
-6.884113197933237e-08,228201_0
-6.884113197933237e-08,228202_0
-5.1790435202873264e-08,225199_0
-1.252599728589264e-07,225479_0
-7.909888111241335e-09,225477_0
-1.2295577643341514e-08,227712_0
-8.061741649471374e-08,227551_0
-4.730062559588553e-08,225967_0
3.9027643085173196e-07,226475_0
8.887807529263483e-08,229755_0
0.0,225821_0
-2.4772546614699933e-08,229519_0
2.0150656063098708e-07,225820_0
2.0150656063098708e-07,227715_0
-1.20048258602892e-08,227713_0
1.1969588733640647e-07,229575_0
-2.659659150011398e-08,225460_0
-1.498274773305789e-08,229524_0
0.0,225474_0
-1.4912832640423366e-08,225437_0
-2.9384223444628282e-08,225476_0
0.0,225461_0
0.0,229514_0
0.0,225446_0
0.0,225436_0
0.0,225463_0
0.0,228228_0
0.0,229298_0
0.0,229585_0
0.0,225428_0
0.0,229501_0
0.0,225449_0
0.0,225819_0
0.0,227711_0
0.0,229620_0
0.0,225450_0
0.0,227714_0
0.0,226474_0
0.0,229586_0
0.0,226236_0
0.0,229527_0
0.0,229528_0
0.0,229584_0
0.0,229576_0
0.0,228715_0
7.769588240194532e-06,226559_0
-8.590530608006838e-06,226560_0
-1.775135527400498e-06,226599_0
5.943999824657517e-07,226633_0
3.850769553742831e-07,226561_0
-2.802810526043511e-06,226626_0
-7.3831398834723e-06,226588_0
-7.961663649176743e-06,226627_0
-1.6178761207507752e-07,226579_0
-1.0685150691562633e-06,226631_0
-3.0371038668935457e-07,226575_0
1.1060306473799184e-07,226613_0
-2.5125874480147886e-07,226632_0
-4.138399666640335e-08,226592_0
-1.6714579416138562e-06,226571_0
2.9313801034858246e-07,226593_0
-2.011231062182845e-08,226595_0
-1.2051114642027134e-07,227488_0
-1.1370005404391023e-07,227489_0
-5.626478056139358e-07,226576_0
-1.3296859235666883e-07,226564_0
-1.7058242914713135e-07,226604_0
-3.0657573135580043e-07,226628_0
5.502762507533003e-08,226584_0
-7.450218677104478e-07,226600_0
-5.665976787550938e-07,226589_0
-3.465211041958757e-08,226583_0
-4.802849784437027e-07,226598_0
-1.7147130687855055e-07,226629_0
8.031977422428198e-07,226567_0
-5.855383907457133e-07,226582_0
-4.1477543831115404e-07,226563_0
1.4832839429259435e-07,226573_0
-4.949590546454315e-07,226612_0
1.9331616066813668e-07,227510_0
3.215141558437347e-08,226608_0
1.4017378277357045e-08,226565_0
-3.5756064724737724e-07,226597_0
2.2185316966439077e-08,226603_0
-2.3149652558826845e-07,226601_0
-9.966823166172025e-08,226602_0
-1.996284983626597e-07,226610_0
-3.616114503109823e-07,227701_0
2.18912705159782e-07,226625_0
1.268684280523267e-06,226606_0
1.0721601890754825e-07,226590_0
-1.2201654784483294e-07,226630_0
6.98966596182071e-08,226580_0
-5.0583009489367664e-08,226605_0
-1.5540664038697828e-07,226619_0
-6.250673352069811e-08,226574_0
-7.421818228102731e-09,229413_0
2.6910616781712376e-07,227511_0
-1.3669169189262057e-08,226617_0
-4.775144134425609e-08,226591_0
9.630569553249526e-09,226620_0
0.0,226623_0
-3.0938412883612066e-08,226621_0
0.0,226614_0
-2.0196095106506202e-08,226557_0
1.1562712288161788e-07,226609_0
0.0,226607_0
0.0,226558_0
0.0,226570_0
0.0,226618_0
0.0004678641681616197,220045_0
-5.738246608927029e-05,220046_0
-0.00015562565854337416,220047_0
-0.0007210886550658074,220179_0
-0.00027792740225193773,220180_0
-0.0004018537054895956,220181_0
0.00022259598183158705,220210_0
8.274715308903402e-05,220245_0
6.637981888573397e-05,220274_0
-0.0003396639941198024,220277_0
3.116813397741258e-05,220292_0
0.00011860076304209501,220293_0
4.462013661081929e-05,220339_0
1.6093389862053265e-05,220734_0
0.00028295257246956367,223679_0
0.00024789541658238164,223751_0
0.00011123269319139705,223752_0
-9.23754754937014e-05,223761_0
-0.0002271790289520834,223769_0
-0.0002514163394064333,223770_0
0.00038391917962818546,223872_0
0.0002031955966112123,223873_0
0.00047168501298315953,223874_0
0.00018726506829620237,223875_0
0.0001082834907751065,223876_0
-6.40225257737821e-05,224161_0
-1.6163650604812592e-05,224162_0
0.00021829625362583028,224417_0
-0.00010594683515678392,224684_0
0.0007512415655927371,224685_0
7.264868874235045e-05,224687_0
0.00013149509878389396,224688_0
0.0001582600286042399,224689_0
0.00023343928087479594,224690_0
-1.644992323165286e-05,224691_0
0.00017086323937423356,224695_0
0.00013905957034785767,224696_0
8.244374212421948e-05,224697_0
7.11027371044927e-05,224700_0
2.7350761619012457e-06,224738_0
9.274896466232909e-05,225668_0
0.0006389244385644971,226062_0
0.00029979026840074724,226063_0
-0.00018284718016353763,226253_0
-3.1408419744245724e-05,227464_0
5.3529488115303976e-05,229371_0
-4.3481185901602156e-07,229660_0
-4.286876955497945e-05,229661_0
7.119549846335984e-06,229663_0
1.4025932352257059e-05,229664_0
1.6946427992327369e-06,229665_0
6.591942271609293e-05,223834_0
3.9495628533300026e-05,224562_0
1.892868493918675e-05,224846_0
2.236134494939367e-05,224916_0
1.1937158916351203e-05,224951_0
-0.0001220742018879393,225634_0
1.671991553654566e-05,227429_0
5.622150119133977e-06,227444_0
-3.2824887876562443e-06,227456_0
-4.029314952251862e-05,220228_0
-4.597129043830036e-05,220545_0
0.00017353339593976304,220546_0
0.00017628216273744325,220587_0
-0.0004711859986467792,220602_0
-6.989921496803128e-06,220615_0
0.0001202967969362474,220621_0
-3.415095423038631e-07,220635_0
-0.0002808294934389318,220644_0
-0.00047596268562658764,220645_0
-0.0003590524328479473,224639_0
0.000366339102331469,225612_0
0.000555304863675517,225624_0
2.2106035322431342e-05,225625_0
-3.061760004255092e-06,225639_0
-1.814303971699603e-05,225640_0
-9.645990648395258e-05,225641_0
2.010203793031527e-05,225642_0
0.00020858144120581795,225643_0
5.86739032806931e-05,225677_0
6.247384355498838e-05,225690_0
0.00011082758030916844,227073_0
